switch_id,switch_step,steps_since_switch,near_miss,violation,shield_used,clearance,tag,mode,algo,env,method,p_stay,seed,run_name
9,848,0,0,1,0,-16.1060737609863,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
9,848,1,0,1,0,2.761273574829161,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
9,848,2,0,1,0,21.807725524902374,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
9,848,3,0,1,0,24.012472248077444,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
9,848,4,0,1,0,19.200619602203425,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
9,848,5,0,1,0,16.722207164764455,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
9,848,6,1,0,0,45.30701885223396,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
9,848,7,1,0,0,53.12615928649912,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
9,848,8,1,0,0,70.67995491027841,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
9,848,9,1,0,0,82.32870750427256,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
10,968,0,0,1,0,16.064017105102565,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
10,968,1,1,0,0,56.39302978515628,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
10,968,2,1,0,0,61.61691780090334,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
10,968,3,1,0,0,64.48661251068114,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
10,968,4,1,0,0,89.64511184692381,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
10,968,5,1,0,0,114.5599098205566,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
10,968,6,1,0,0,156.7531013488769,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
10,968,7,1,0,0,197.46341838836665,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
10,968,8,0,0,0,216.50773496627804,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
10,968,9,0,0,0,236.16396818161004,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
11,1088,0,0,1,0,11.95323085784912,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
11,1088,1,0,1,0,45.722445487976096,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
11,1088,2,1,0,0,57.159003257751486,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
11,1088,3,1,0,0,64.52487010955812,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
11,1088,4,1,0,0,67.09027557373051,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
11,1088,5,1,0,0,85.91132488250739,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
11,1088,6,1,0,0,90.70660724639896,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
11,1088,7,1,0,0,106.42688503265384,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
11,1088,8,1,0,0,116.41605052948,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
11,1088,9,1,0,0,101.51489124298097,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
12,1148,0,0,1,0,-7.764434146881108,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
12,1148,1,0,1,0,6.659574031829813,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
12,1148,2,0,1,0,2.009307765960642,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
12,1148,3,0,1,0,0.6005848884581795,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
